,s1,2hr,4hr,6hr
s1,1.0,0.8733577316306134,0.7601888204047468,0.6303588017586375
2hr,0.8733577316306134,1.0,0.9466998375794874,0.7942711499407007
4hr,0.7601888204047468,0.9466998375794874,1.0,0.8994771539149189
6hr,0.6303588017586375,0.7942711499407007,0.8994771539149189,1.0
,s1,2hr,4hr,6hr
count,97144.0,96338.0,94614.0,91027.0
mean,0.3923661242329106,0.41327339940528224,0.3850982561591843,0.2670099844422892
std,0.05732314083654786,0.07315227525336927,0.07089526474113463,0.07628038327129023
min,0.0,0.0,0.0,0.0
25%,0.36266944469979245,0.37515564864887313,0.34842919666908284,0.22506985771695043
50%,0.37407952963722413,0.3932213374020914,0.36848401929743735,0.251414148085648
75%,0.40093418795941504,0.43012052704707393,0.40580014985692336,0.2953944501422631
max,1.0,1.0,1.0,1.0
